variable,domain,source_topic,analytic_core,exclusion_reason,notes
ABANY,Social Attitudes & Morality,Legalized abortion,1,,
ABDEFECT,Social Attitudes & Morality,Legalized abortion,1,,
ABHLTH,Social Attitudes & Morality,Legalized abortion,1,,
ABNOMORE,Social Attitudes & Morality,Legalized abortion,1,,
ABPOOR,Social Attitudes & Morality,Legalized abortion,1,,
ABRAPE,Social Attitudes & Morality,Legalized abortion,1,,
ABSINGLE,Social Attitudes & Morality,Legalized abortion,1,,
AFFRMACT,Race & Inequality,Racial attitudes and stereotypes,1,,
ATTEND,Religion,Religious attitudes and behavior,1,,
BIBLE,Religion,Religious attitudes and behavior,1,,
CAPPUN,"Crime, Punishment & Firearms",Attitude and opinion items,1,,
CHLDIDEL,Social Attitudes & Morality,Family & children,1,,
CLASS,Political & Economic Orientations,Class identification and economic well-being,1,,
COLATH,Civil Liberties & Government,Civil liberties (Stouffer),1,,
COLCOM,Civil Liberties & Government,Civil liberties (Stouffer),1,,
COLMSLM,Civil Liberties & Government,Civil liberties (Stouffer),1,,
COLRAC,Civil Liberties & Government,Civil liberties (Stouffer),1,,
CONARMY,Institutional Confidence,Confidence in institutions,1,,
CONBUS,Institutional Confidence,Confidence in institutions,1,,
CONCLERG,Institutional Confidence,Confidence in institutions,1,,
CONEDUC,Institutional Confidence,Confidence in institutions,1,,
CONFED,Institutional Confidence,Confidence in institutions,1,,
CONFINAN,Institutional Confidence,Confidence in institutions,1,,
CONJUDGE,Institutional Confidence,Confidence in institutions,1,,
CONLABOR,Institutional Confidence,Confidence in institutions,1,,
CONLEGIS,Institutional Confidence,Confidence in institutions,1,,
CONMEDIC,Institutional Confidence,Confidence in institutions,1,,
CONPRESS,Institutional Confidence,Confidence in institutions,1,,
CONSCI,Institutional Confidence,Confidence in institutions,1,,
CONTV,Institutional Confidence,Confidence in institutions,1,,
COURTS,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
DISCAFF,Race & Inequality,Attitude and opinion items,1,,
DISCAFFM,Social Attitudes & Morality,Gender roles,1,,
DISCAFFW,Social Attitudes & Morality,Gender roles,1,,
DIVLAW,Religion,Religion,1,,
EQWLTH,Civil Liberties & Government,Government Intervention,1,,
FAIR,Well-being & Life Orientations,Subjective well-being and social life orientations,1,,
FEAR,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
FECHLD,Social Attitudes & Morality,Gender roles,1,,
FEFAM,Social Attitudes & Morality,Gender roles,1,,
FEHIRE,Social Attitudes & Morality,Gender roles,1,,
FEJOBAFF,Social Attitudes & Morality,Gender roles,1,,
FEPOL,Social Attitudes & Morality,Gender roles,1,,
FEPRESCH,Social Attitudes & Morality,Gender roles,1,,
FINALTER,Political & Economic Orientations,Class identification and economic well-being,1,,
FINRELA,Political & Economic Orientations,Class identification and economic well-being,1,,
GETAHEAD,Political & Economic Orientations,Economic well-being,1,,
GOD,Religion,Religious attitudes and behavior,1,,
GOODLIFE,Political & Economic Orientations,Economic well-being,1,,
GRASS,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
GUNLAW,"Crime, Punishment & Firearms","Crime, punishment, and firearms",1,,
HAPPY,Well-being & Life Orientations,Subjective well-being and social life orientations,1,,
HEALTH,Well-being & Life Orientations,Subjective well-being and social life orientations,1,,
HELPBLK,Civil Liberties & Government,Government Intervention,1,,
