Domain,Variable,Source Topic
Religion,ATTEND,Religious attitudes and behavior
Religion,BIBLE,Religious attitudes and behavior
Religion,DIVLAW,Religion
Religion,GOD,Religious attitudes and behavior
Religion,POSTLIFE,Religious attitudes and behavior
Religion,PRAY,Religious attitudes and behavior
Religion,PRAYER,Religion
Religion,REBORN,Religious attitudes and behavior
Religion,RELACTIV,Religious attitudes and behavior
Religion,RELPERSN,Religious attitudes and behavior
Religion,SPRTPRSN,Religious attitudes and behavior
Race & Inequality,AFFRMACT,Racial attitudes and stereotypes
Race & Inequality,DISCAFF,Attitude and opinion items
Race & Inequality,LETIN1A,Attitude and opinion items
Race & Inequality,RACDIF1,Racial attitudes and stereotypes
Race & Inequality,RACDIF2,Racial attitudes and stereotypes
Race & Inequality,RACDIF3,Racial attitudes and stereotypes
Race & Inequality,RACDIF4,Racial attitudes and stereotypes
Race & Inequality,RACOPEN,Racial attitudes
Race & Inequality,WLTHBLKS,Racial attitudes and stereotypes
Race & Inequality,WLTHWHTS,Racial attitudes and stereotypes
Race & Inequality,WORKBLKS,Racial attitudes and stereotypes
Race & Inequality,WORKWHTS,Racial attitudes and stereotypes
Race & Inequality,WRKWAYUP,Racial attitudes and stereotypes
Civil Liberties & Government,COLATH,Civil liberties (Stouffer)
Civil Liberties & Government,COLCOM,Civil liberties (Stouffer)
Civil Liberties & Government,COLMSLM,Civil liberties (Stouffer)
Civil Liberties & Government,COLRAC,Civil liberties (Stouffer)
Civil Liberties & Government,EQWLTH,Government Intervention
Civil Liberties & Government,HELPBLK,Government Intervention
Civil Liberties & Government,HELPNOT,Government Intervention
Civil Liberties & Government,HELPPOOR,Government Intervention
Civil Liberties & Government,HELPSICK,Government Intervention
Civil Liberties & Government,LIBATH,Civil liberties (Stouffer)
Civil Liberties & Government,LIBCOM,Civil liberties (Stouffer)
Civil Liberties & Government,LIBMSLM,Civil liberties (Stouffer)
Civil Liberties & Government,LIBRAC,Civil liberties (Stouffer)
Civil Liberties & Government,SPKATH,Civil liberties (Stouffer)
Civil Liberties & Government,SPKCOM,Civil liberties (Stouffer)
Civil Liberties & Government,SPKMSLM,Civil liberties (Stouffer)
Civil Liberties & Government,SPKRAC,Civil liberties (Stouffer)
"Crime, Punishment & Firearms",CAPPUN,Attitude and opinion items
"Crime, Punishment & Firearms",COURTS,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",FEAR,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",GRASS,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",GUNLAW,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",POLABUSE,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",POLATTAK,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",POLESCAP,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",POLHITOK,"Crime, punishment, and firearms"
"Crime, Punishment & Firearms",POLMURDR,"Crime, punishment, and firearms"
Political & Economic Orientations,CLASS,Class identification and economic well-being
Political & Economic Orientations,FINALTER,Class identification and economic well-being
Political & Economic Orientations,FINRELA,Class identification and economic well-being
Political & Economic Orientations,GETAHEAD,Economic well-being
Political & Economic Orientations,GOODLIFE,Economic well-being
Political & Economic Orientations,KIDSSOL,Economic well-being
Political & Economic Orientations,NATAID,Priorities for national spending
Political & Economic Orientations,NATARMS,Priorities for national spending
