Variable,Domain,Baseline_1618,Full_2224,FTF_2224,FTF_Distance,Web_2224,Web_Distance,Full_Distance,FTF_Beats_Full,Classification
DIVLAW,Religion,0.42538254331058845,0.5185925169314036,0.5159719233317236,0.09058938002113515,0.5234092193705097,0.09802667605992121,0.09320997362081518,TRUE,Convergent
HELPPOOR,Civil Liberties & Government,0.3141998743529487,0.37800023550161865,0.3820703494403304,0.0678704750873817,0.3799996505650179,0.06579977621206917,0.06380036114866994,FALSE,Convergent
GRASS,"Crime, Punishment & Firearms",0.6155970063282648,0.7090403548582026,0.7092250181364753,0.09362801180821057,0.7163040180778577,0.10070701174959296,0.09344334852993785,FALSE,Convergent
XMOVIE,Social Attitudes & Morality,0.2858494400748991,0.5396962574605086,0.5469429045676873,0.26109346449278825,0.5386841545820122,0.25283471450711315,0.25384681738560955,FALSE,Convergent
CONPRESS,Institutional Confidence,0.5189523486405647,0.45081050922874877,0.44653231313079617,0.07242003550976855,0.45285561401673435,0.06609673462383037,0.06814183941181595,FALSE,Convergent
PRAYER,Religion,0.45782532517547403,0.5810700142003914,0.5272391004472209,0.06941377527174686,0.6425589720809046,0.1847336469054306,0.12324468902491736,TRUE,Divergent
RACDIF1,Race & Inequality,0.4347314083064282,0.518589570535152,0.5550388280499092,0.12030741974348103,0.49053284795852026,0.055801439652092055,0.08385816222872378,FALSE,Divergent
RACDIF4,Race & Inequality,0.4120620426549003,0.29580255988265075,0.29918111377741613,0.11288092887748419,0.27332618705928524,0.13873585559561508,0.11625948277224957,TRUE,Divergent
WORKBLKS,Race & Inequality,0.7251321418767933,0.787784749131523,0.7772696591314825,0.05213751725468918,0.8161132617967877,0.09098111991999436,0.06265260725472965,TRUE,Divergent
WRKWAYUP,Race & Inequality,0.6086948166228552,0.4864349281895449,0.5120808907315075,0.09661392589134765,0.44632827685369775,0.16236653976915744,0.12225988843331026,TRUE,Divergent
COLRAC,Civil Liberties & Government,0.5547877840607667,0.6526933849021468,0.6314334248798473,0.07664564081908065,0.6820222541576597,0.12723447009689304,0.09790560084138011,TRUE,Divergent
SPKRAC,Civil Liberties & Government,0.41018236533882135,0.52084815231614,0.475206585621341,0.06502422028251964,0.575329185582127,0.16514682024330563,0.11066578697731866,TRUE,Divergent
GETAHEAD,Political & Economic Orientations,0.7171113285601509,0.6288470997502259,0.6011024658035057,0.11600886275664524,0.6504069686214711,0.06670435993867985,0.08826422880992502,FALSE,Divergent
GOODLIFE,Political & Economic Orientations,0.6172446278680035,0.4690680053039903,0.5478155266486849,0.06942910121931856,0.3758946943681687,0.2413499334998348,0.1481766225640132,TRUE,Divergent
KIDSSOL,Political & Economic Orientations,0.6258001852604284,0.5094120316923452,0.5598189587513743,0.06598122650905403,0.46943707256549877,0.15636311269492958,0.11638815356808319,TRUE,Divergent
NATRACE,Political & Economic Orientations,0.48311141603304736,0.46247236015522075,0.5335177879744846,0.05040637194143721,0.41212898938640175,0.07098242664664561,0.020639055877826606,FALSE,Divergent
TAX,Political & Economic Orientations,0.5386189702168362,0.681799752864927,0.6656952249084144,0.12707625469157813,0.6952531345029872,0.15663416428615096,0.14318078264809075,TRUE,Divergent
ABANY,Social Attitudes & Morality,0.4733958725666529,0.5729328581852329,0.5277254820784694,0.05432960951181648,0.6219129477431901,0.14851707517653717,0.09953698561857999,TRUE,Divergent
ABNOMORE,Social Attitudes & Morality,0.48143489636577846,0.5730298267523453,0.5469889387071767,0.06555404234139822,0.60297611505432,0.12154121868854156,0.0915949303865668,TRUE,Divergent
ABRAPE,Social Attitudes & Morality,0.7797020199365091,0.8522075408883122,0.8316845575470541,0.05198253761054494,0.8753350218945358,0.09563300195802671,0.07250552095180307,TRUE,Divergent
ABSINGLE,Social Attitudes & Morality,0.4363053905924487,0.547662446174418,0.5081105447822447,0.071805154189796,0.5886188234403995,0.1523134328479508,0.11135705558196923,TRUE,Divergent
DISCAFFW,Social Attitudes & Morality,0.2832897384042009,0.30641726692129684,0.30865237296434556,0.025362634560144648,NA,NA,0.02312752851709593,FALSE,Divergent
FEJOBAFF,Social Attitudes & Morality,0.6512828906684316,0.5615665088450482,0.5325874014690762,0.11869548919935535,0.5914959554018714,0.059786935266560204,0.08971638182338337,FALSE,Divergent
SPANKING,Social Attitudes & Morality,0.3326756400271853,0.4417681487312896,0.40575248967197075,0.07307684964478545,0.4861557220049903,0.153480081977805,0.10909250870410431,TRUE,Divergent
TEENSEX,Social Attitudes & Morality,0.24115593777445485,0.34925690180307223,0.32070432951564554,0.07954839174119069,0.38167750422242386,0.140521566447969,0.10810096402861738,TRUE,Divergent
THNKSELF,Social Attitudes & Morality,0.5977346581391098,0.675898708905636,0.653125004091266,0.055390345952156195,0.7057136560763906,0.10797899793728083,0.07816405076652622,TRUE,Divergent
CONARMY,Institutional Confidence,0.5767343570874616,0.45369773969034843,0.5087599952453759,0.06797436184208572,0.3848314065675063,0.19190295051995526,0.12303661739711313,TRUE,Divergent
CONJUDGE,Institutional Confidence,0.30029636613646077,0.1808139603839704,0.19158388759757794,0.10871247853888283,0.16351103294071562,0.13678533319574515,0.11948240575249036,TRUE,Divergent
CONSCI,Institutional Confidence,0.4537962653962825,0.3806645589482973,0.39309877113209096,0.06069749426419152,0.3687652966956348,0.08503096870064769,0.07313170644798517,TRUE,Divergent
FAIR,Well-being & Life Orientations,0.5679952585281699,0.48312787652696076,0.4977982617834135,0.07019699674475638,0.46162196533962485,0.10637329318854505,0.08486738200120914,TRUE,Divergent
LIFE,Well-being & Life Orientations,0.48609500958912133,0.5966952809684151,0.5667127367219852,0.08061772713286386,0.6354279504638575,0.14933294087473614,0.11060027137929374,TRUE,Divergent
ATTEND,Religion,0.36008391644483256,0.29397243771791864,0.3162206652198554,0.04386325122497714,0.26877443199853707,0.0913094844462955,0.06611147872691392,TRUE,FTF-Preserves
BIBLE,Religion,0.30558299392363586,0.2673589501620814,0.30074983733339494,0.004833156590240917,0.22475971069063092,0.08082328323300494,0.03822404376155447,TRUE,FTF-Preserves
GOD,Religion,0.7553551548810207,0.7212186660056409,0.7536905365323853,0.001664618348635405,0.6881367671741105,0.06721838770691013,0.03413648887537979,TRUE,FTF-Preserves
POSTLIFE,Religion,0.801442099480321,0.7841073746657636,0.8183795030753888,0.01693740359506779,0.7446486637322228,0.05679343574809814,0.017334724814557334,TRUE,FTF-Preserves
PRAY,Religion,0.668679366286521,0.599268543729349,0.655107877803486,0.013571488483035021,0.5411320311020712,0.12754733518444983,0.06941082255717201,TRUE,FTF-Preserves
REBORN,Religion,0.41201159413083627,0.37948917977275004,0.41936410580898653,0.007352511678150264,0.33827137689815434,0.07374021723268193,0.03252241435808623,TRUE,FTF-Preserves
RELACTIV,Religion,0.22624579384638052,0.1851145003824668,0.1938918245241874,0.032353969322193116,0.17908656071572873,0.04715923313065179,0.041131293463913726,TRUE,FTF-Preserves
RELPERSN,Religion,0.46221033994776184,0.5318397630088818,0.4823943512903318,0.020184011342569974,0.5868206168629,0.12461027691513815,0.06962942306111997,TRUE,FTF-Preserves
SPRTPRSN,Religion,0.3475364754049772,0.4040299502442047,0.34645660464092515,0.0010798707640520266,0.46032077746159666,0.11278430205661949,0.05649347483922751,TRUE,FTF-Preserves
DISCAFF,Race & Inequality,0.5686163339030382,0.5428099294124038,0.5520343354137339,0.016581998489304306,0.5293283249215012,0.03928800898153706,0.025806404490634427,TRUE,FTF-Preserves
LETIN1A,Race & Inequality,0.6164345139610642,0.575508998793246,0.6035436843839435,0.012890829577120733,0.5500115723108615,0.06642294165020268,0.04092551516781817,TRUE,FTF-Preserves
RACDIF2,Race & Inequality,0.0823981715304055,0.07193467221727834,0.08669157285129916,0.004293401320893661,0.04504611814728386,0.03735205338312164,0.010463499313127164,TRUE,FTF-Preserves
COLCOM,Civil Liberties & Government,0.6792655065825093,0.6414077341641422,0.6415343824246673,0.037731124157841966,0.6350196049762535,0.044245901606255744,0.037857772418367075,TRUE,FTF-Preserves
HELPNOT,Civil Liberties & Government,0.7033242655381181,0.7211184169362069,0.7075647498186588,0.004240484280540691,0.7408821634362355,0.037557897898117365,0.01779415139808882,TRUE,FTF-Preserves
LIBMSLM,Civil Liberties & Government,0.4961999640774668,0.5142095077712852,0.4673853915212998,0.028814572556166984,0.5744897006122989,0.07828973653483207,0.018009543693818353,FALSE,FTF-Preserves
SPKATH,Civil Liberties & Government,0.20259820037473447,0.21724453488806073,0.21215626500262733,0.009558064627892854,0.21698889993087386,0.014390699556139391,0.014646334513326253,TRUE,FTF-Preserves
SPKCOM,Civil Liberties & Government,0.29146358242975157,0.3255292693495218,0.3168330121859099,0.025369429756158357,0.33711553697867913,0.045651954548927565,0.034065686919770244,TRUE,FTF-Preserves
CAPPUN,"Crime, Punishment & Firearms",0.6267726459879963,0.6166225366022843,0.6217916360378875,0.004981009950108861,0.6089317765019555,0.0178408694860408,0.010150109385712036,TRUE,FTF-Preserves
FEAR,"Crime, Punishment & Firearms",0.31591265798718554,0.3528102299013441,0.3325408273500715,0.01662816936288597,0.38030569960876787,0.06439304162158233,0.036897571914158545,TRUE,FTF-Preserves
POLABUSE,"Crime, Punishment & Firearms",0.09874962072664221,0.10530619069701386,0.09772155230278765,0.0010280684238545695,0.11491912102255124,0.016169500295909023,0.006556569970371642,TRUE,FTF-Preserves
POLATTAK,"Crime, Punishment & Firearms",0.8516462614036796,0.7974614984674615,0.8307462023389268,0.020900059064752785,0.7559012782183635,0.0957449831853161,0.0541847629362181,TRUE,FTF-Preserves
POLESCAP,"Crime, Punishment & Firearms",0.6932237082995183,0.6309926450596982,0.6465385223958197,0.046685185903698634,0.6024460873248533,0.09077762097466502,0.062231063239820084,TRUE,FTF-Preserves
POLMURDR,"Crime, Punishment & Firearms",0.16938675231127806,0.19807440451933192,0.1642672228846226,0.0051195294266554725,0.23185534683408465,0.06246859452280659,0.02868765220805386,TRUE,FTF-Preserves
CLASS,Political & Economic Orientations,0.4614130364132887,0.4807199770574297,0.47583897798509456,0.014425941571805878,0.4762981772828596,0.014885140869570934,0.019306940644141013,TRUE,FTF-Preserves
FINALTER,Political & Economic Orientations,0.5734023233425998,0.6196397850855591,0.5886806197164122,0.015278296373812394,0.6509228590729349,0.07752053573033513,0.046237461742959285,TRUE,FTF-Preserves
NATAID,Political & Economic Orientations,0.4385475682326387,0.38439422972481574,0.42003864311521405,0.018508925117424635,0.3502949598089603,0.08825260842367838,0.054153338507822946,TRUE,FTF-Preserves
NATARMS,Political & Economic Orientations,0.7175282330333113,0.7182408430125687,0.7298517888374492,0.012323555804137909,0.7013939523004475,0.016134280732863715,7.126099792574836e-4,FALSE,FTF-Preserves
NATEDUC,Political & Economic Orientations,0.7449762728939293,0.7463427078096649,0.7376590819431001,0.007317190950829167,0.7656442184611265,0.0206679455671972,0.001366434915735626,FALSE,FTF-Preserves
NATENRGY,Political & Economic Orientations,0.5734410649581082,0.5245267898653988,0.5410809236050097,0.032360141353098504,0.5130077579712097,0.06043330698689853,0.0489142750927094,TRUE,FTF-Preserves
NATHEAL,Political & Economic Orientations,0.6628446138297489,0.6968825257872631,0.6850473097408396,0.022202695911090697,0.7199632908248114,0.057118676995062456,0.034037911957514155,TRUE,FTF-Preserves
NATROAD,Political & Economic Orientations,0.5113087427953205,0.5089924346707471,0.47939820578413084,0.03191053701118962,0.5455715049730624,0.034262762177741934,0.0023163081245733963,FALSE,FTF-Preserves
NATSCI,Political & Economic Orientations,0.4300736463004213,0.41516462802493537,0.41851289008995846,0.01156075621046282,0.40723582282064286,0.02283782347977842,0.014909018275485908,TRUE,FTF-Preserves
NATSOC,Political & Economic Orientations,0.5879123020190391,0.6050633092799528,0.5984362900294388,0.010523988010399665,0.6173149848835033,0.029402682864464236,0.017151007260913675,TRUE,FTF-Preserves
NATSPAC,Political & Economic Orientations,0.7264581727733186,0.7321752604358772,0.7205936290544855,0.0058645437188330485,0.7369346416738876,0.01047646890056897,0.005717087662558629,FALSE,FTF-Preserves
PARSOL,Political & Economic Orientations,0.60995506154051,0.5809739789121499,0.5772868761968536,0.03266818534365645,0.5755463363717784,0.03440872516873161,0.02898108262836019,FALSE,FTF-Preserves
PARTYID,Political & Economic Orientations,0.5524550200344847,0.5476025971794802,0.5409941101543432,0.011460909880141479,0.56569021639255,0.01323519635806536,0.0048524228550044235,FALSE,FTF-Preserves
