variable,mode_group,estimate,se,ci_lower,ci_upper,varname,topic,domain
ABANY,2016-2018 (all),0.4733958725666529,0.01236153861715864,0.45602702621401403,0.49076471891929174,ABANY,Legalized abortion,Social Attitudes & Morality
ABANY,2022-2024 (all),0.5729328581852329,0.014106922826602848,0.5531116221180904,0.5927540942523754,ABANY,Legalized abortion,Social Attitudes & Morality
ABANY,2022-2024 (f2fp),0.5277254820784694,0.01966872735451701,0.5000895126451534,0.5553614515117853,ABANY,Legalized abortion,Social Attitudes & Morality
ABANY,2022-2024 (web),0.6219129477431901,0.017306199746434183,0.5975964986624376,0.6462293968239425,ABANY,Legalized abortion,Social Attitudes & Morality
ABDEFECT,2016-2018 (all),0.7538769366624136,0.009813556050821376,0.7400881881499,0.7676656851749273,ABDEFECT,Legalized abortion,Social Attitudes & Morality
ABDEFECT,2022-2024 (all),0.8058027207266938,0.009245262513331975,0.7928124653016143,0.8187929761517733,ABDEFECT,Legalized abortion,Social Attitudes & Morality
ABDEFECT,2022-2024 (f2fp),0.7977527285512289,0.014167157498560446,0.7778468584595742,0.8176585986428836,ABDEFECT,Legalized abortion,Social Attitudes & Morality
ABDEFECT,2022-2024 (web),0.8153808194392227,0.011934735867388425,0.7986116614921479,0.8321499773862975,ABDEFECT,Legalized abortion,Social Attitudes & Morality
ABHLTH,2016-2018 (all),0.895669131409804,0.006570365838304492,0.8864372972295724,0.9049009655900355,ABHLTH,Legalized abortion,Social Attitudes & Morality
ABHLTH,2022-2024 (all),0.9199178082671801,0.00750739193196751,0.9093693853714745,0.9304662311628856,ABHLTH,Legalized abortion,Social Attitudes & Morality
ABHLTH,2022-2024 (f2fp),0.9180216963840645,0.010058473023361972,0.9038888219987969,0.9321545707693321,ABHLTH,Legalized abortion,Social Attitudes & Morality
ABHLTH,2022-2024 (web),0.9210642706128871,0.009820245662352354,0.9072661227174618,0.9348624185083124,ABHLTH,Legalized abortion,Social Attitudes & Morality
ABNOMORE,2016-2018 (all),0.48143489636577846,0.012536111261114447,0.46382076295590924,0.4990490297756477,ABNOMORE,Legalized abortion,Social Attitudes & Morality
ABNOMORE,2022-2024 (all),0.5730298267523453,0.014218913088961211,0.5530512363525315,0.593008417152159,ABNOMORE,Legalized abortion,Social Attitudes & Morality
ABNOMORE,2022-2024 (f2fp),0.5469889387071767,0.019678075269131477,0.5193398347848878,0.5746380426294656,ABNOMORE,Legalized abortion,Social Attitudes & Morality
ABNOMORE,2022-2024 (web),0.60297611505432,0.01664388532001874,0.5795902651381067,0.6263619649705333,ABNOMORE,Legalized abortion,Social Attitudes & Morality
ABPOOR,2016-2018 (all),0.46670856327528315,0.012919996641705475,0.44855504343472685,0.48486208311583945,ABPOOR,Legalized abortion,Social Attitudes & Morality
ABPOOR,2022-2024 (all),0.5665176996039992,0.013987349626970676,0.5468644724390351,0.5861709267689633,ABPOOR,Legalized abortion,Social Attitudes & Morality
ABPOOR,2022-2024 (f2fp),0.5155852960563994,0.01939406561377103,0.4883352460237107,0.542835346089088,ABPOOR,Legalized abortion,Social Attitudes & Morality
ABPOOR,2022-2024 (web),0.6220337527889682,0.018548819445722304,0.5959713341084655,0.6480961714694708,ABPOOR,Legalized abortion,Social Attitudes & Morality
ABRAPE,2016-2018 (all),0.7797020199365091,0.00976786862642768,0.7659774655246748,0.7934265743483434,ABRAPE,Legalized abortion,Social Attitudes & Morality
ABRAPE,2022-2024 (all),0.8522075408883122,0.009707108889526967,0.838568358254809,0.8658467235218154,ABRAPE,Legalized abortion,Social Attitudes & Morality
ABRAPE,2022-2024 (f2fp),0.8316845575470541,0.01642211309001974,0.8086103134840787,0.8547588016100294,ABRAPE,Legalized abortion,Social Attitudes & Morality
ABRAPE,2022-2024 (web),0.8753350218945358,0.011015942756781446,0.8598568340169833,0.8908132097720883,ABRAPE,Legalized abortion,Social Attitudes & Morality
ABSINGLE,2016-2018 (all),0.4363053905924487,0.012056841199642095,0.4193646659156621,0.4532461152692353,ABSINGLE,Legalized abortion,Social Attitudes & Morality
ABSINGLE,2022-2024 (all),0.547662446174418,0.013621528097832533,0.5285232244361949,0.566801667912641,ABSINGLE,Legalized abortion,Social Attitudes & Morality
ABSINGLE,2022-2024 (f2fp),0.5081105447822447,0.018379465333445928,0.482286080748523,0.5339350088159663,ABSINGLE,Legalized abortion,Social Attitudes & Morality
