variable,estimate_bivariate,se_bivariate,p_bivariate,p_bivariate_adj,estimate_full,se_full,p_full,p_full_adj,sig_bivariate,sig_full,significance_pattern,gap_change,gap_reduction,var_display
c_abany,0.48937701184082355,0.0646892512465213,3.877342698984277e-14,4.6528112387811325e-12,0.49810371529195363,0.070927805234105,2.1764274421713805e-12,2.6334772050273706e-10,TRUE,TRUE,Significant (Both),0.00872670345113008,-0.00872670345113008,ABANY
c_abdefect,0.10346030755779932,0.08030581007930943,0.19763144685898296,1,0.11657818974864975,0.0854614168901932,0.17253509702785705,1,FALSE,FALSE,Not Significant,0.01311788219085043,-0.01311788219085043,ABDEFECT
c_abhlth,0.09887252629177655,0.11807497594400171,0.4023842250514832,1,0.058463756554675304,0.12454942181317392,0.6387822682555215,1,FALSE,FALSE,Not Significant,-0.040408769737101245,0.040408769737101245,ABHLTH
c_abnomore,0.2888471518487852,0.06458920482406236,7.746770512687359e-6,6.507287230657381e-4,0.312626296971975,0.07090086374519156,1.0368422342014483e-5,9.538948554653324e-4,TRUE,TRUE,Significant (Both),0.02377914512318985,-0.02377914512318985,ABNOMORE
c_abpoor,0.5121745055342705,0.0647566559774875,2.5901082006222082e-15,3.134030922752872e-13,0.5338083941668048,0.07093636967989117,5.2650903367026236e-14,6.686664727612332e-12,TRUE,TRUE,Significant (Both),0.021633888632534348,-0.021633888632534348,ABPOOR
c_abrape,0.31667312748838444,0.08998046652155378,4.3259883345898555e-4,0.029416720675211016,0.33142538140342054,0.09637474614652546,5.840322008443908e-4,0.04555451166586248,TRUE,TRUE,Significant (Both),0.014752253915036095,-0.014752253915036095,ABRAPE
c_absingle,0.4239723172182555,0.06434342036193458,4.421726116362517e-11,4.775464205671519e-9,0.42973918799471017,0.07049549167834095,1.0876823521479383e-9,1.272588352013088e-7,TRUE,TRUE,Significant (Both),0.005766870776454658,-0.005766870776454658,ABSINGLE
c_affrmact,0.5270043231437652,0.07415577185344507,1.1883298360707322e-12,1.3546960131206347e-10,0.4765552398961381,0.08063096619446201,3.4143277841400338e-9,3.960620229602439e-7,TRUE,TRUE,Significant (Both),-0.05044908324762709,0.05044908324762709,AFFRMACT
c_attend,-0.19459678282747475,0.05673270920957209,6.034404931428403e-4,0.039827072547427456,-0.2579855368871465,0.061628458868689576,2.8373472865648325e-5,0.002553612557908349,TRUE,TRUE,Significant (Both),-0.06338875405967173,-0.06338875405967173,ATTEND
c_bible,-0.5985117324943641,0.05976170990316969,1.31001633618669e-23,1.716121400404564e-21,-0.47336380738795564,0.06504274399194014,3.3947314938407605e-13,4.141572422485728e-11,TRUE,TRUE,Significant (Both),0.12514792510640843,0.12514792510640843,BIBLE
c_cappun,-0.048929980387074634,0.059310360209729525,0.4093818023033142,1,-0.04975131754806215,0.06465991495221307,0.44163772524533373,1,FALSE,FALSE,Not Significant,-8.213371609875134e-4,-8.213371609875134e-4,CAPPUN
c_chldidel,-0.0044680584403035606,0.0637546874291772,0.9441283629809546,1,0.0639956420480033,0.06741008536943395,0.3424435552831917,1,FALSE,FALSE,Not Significant,0.06846370048830686,-0.05952758360769974,CHLDIDEL
c_class,0.2877112804784894,0.05159905390834976,2.4625018906073893e-8,2.462501890607389e-6,0.024817339524604007,0.05870767428494646,0.6724941991897626,1,TRUE,FALSE,Reduced by Controls,-0.26289394095388535,0.26289394095388535,CLASS
c_colath,-0.19704085727287474,0.0658387479071625,0.0027644937178414267,0.1658696230704856,-0.09549543004235557,0.07094116619160007,0.1782633313961841,1,FALSE,FALSE,Not Significant,0.10154542723051917,0.10154542723051917,COLATH
